CS_Fld_No_of_Share,CS_Fld_Per_DilutedShare,CS_Fld_Per_Share,Fld_ExchangeName,Fld_FYear,Fld_Name,Fld_ScripCode,OI_Fld_No_of_Share,OI_Fld_Per_DilutedShare,OI_Fld_Per_Share,SH_Fld_No_of_Share,SH_Fld_Per_DilutedShare,SH_Fld_Per_Share,VR_Fld_No_of_Share,VR_Fld_Per_DilutedShare,VR_Fld_Per_Share,WR_Fld_No_of_Share,WR_Fld_Per_DilutedShare,WR_Fld_Per_Share,sLongName
,,,BSE NSE,2020.0,Pinakin Commercials Private Limited,500325.0,,,,100.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Elakshi Commercials Private Limited,500325.0,,,,100.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Narahari Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Pitambar Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Rishikesh Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Abhayaprada Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Chakradev Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Kankhal Trading LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Pavana Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Shripal Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Chakradhar Commercials LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Chhatrabhuj Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Taran Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Vishatan Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Kamalakar Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Ajitesh Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Bhuvanesh Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Chakresh Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Janardan Commercials LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Adisesh Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Badri Commercials LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Synergy Synthetics Private Limited,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Harinarayan Enterprises LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Trilokesh Commercials LLP,500325.0,,,,200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Futura Commercials Private Limited,500325.0,,,,1690.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Neutron Enterprises Private Limited,500325.0,,,,1722.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Carat Holdings and Trading Co Pvt Ltd,500325.0,,,,10200.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Exotic Officeinfra Private Limited,500325.0,,,,25776.0,0.0,0.0,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Reliance Industrial Infrastructure Limited,500325.0,,,,344000.0,0.01,0.01,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Vasuprada Enterprises LLP,500325.0,,,,1233680.0,0.02,0.02,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Reliance Welfare Association,500325.0,,,,5010936.0,0.08,0.08,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Mukesh D Ambani,500325.0,,,,7500000.0,0.12,0.12,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Isha M Ambani,500325.0,,,,7500000.0,0.12,0.12,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Anant M Ambani,500325.0,,,,7500000.0,0.12,0.12,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Akash M Ambani,500325.0,,,,7500000.0,0.12,0.12,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Nita M Ambani,500325.0,,,,7500000.0,0.12,0.12,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Svar Enterprises LLP,500325.0,,,,12740032.0,0.2,0.2,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Shrikrishna Tradecom LLP,500325.0,,,,13355000.0,0.21,0.21,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Shreeji Comtrade LLP,500325.0,,,,13355000.0,0.21,0.21,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,K D Ambani,500325.0,,,,14662148.0,0.23,0.23,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Samarjit Enterprises LLP,500325.0,,,,116081370.0,1.83,1.83,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,"Reliance Services and Holdings Limited (a compnay controlled by Petroleum Trust, sole beneficiary of which is M/s. Reliance Industrial Investments and Holdings Ltd)",500325.0,,,,171882820.0,2.71,2.71,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Petroleum Trust (through Trustees for sole beneficiary-M/s Reliance Industrial Investments and Holdings Ltd.),500325.0,,,,240942006.0,3.8,3.8,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Reliance Industries Holding Private Ltd,500325.0,,,,257537726.0,4.06,4.06,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Tattvam Enterprises LLP,500325.0,,,,508166996.0,8.02,8.02,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Karuna Commercials LLP,500325.0,,,,508166996.0,8.02,8.02,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Devarshi Commercials LLP,500325.0,,,,508166996.0,8.02,8.02,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Srichakra Commercials LLP,500325.0,,,,688895274.0,10.87,10.87,,,,,,,RELIANCE INDUSTRIES LTD.
,,,BSE NSE,2020.0,Total,500325.0,,,,3098084968.0,48.89,48.89,,,,,,,RELIANCE INDUSTRIES LTD.
