Bst_S_rate,Bst_b_rate,Dt_tm,HighRate,LowRate,Ltradert,NoOfTrd,OpenRate,Tot_B_qty,Tot_S_qty,Trd_vol,closerate,expirationdate,scrip_Cd,scripname
,,,,,,,,,,,,2020-06-04T00:00:00,333773.0,RELIANCEAPRJUN20-MCF
,,,,,,,,,,,,2020-06-04T00:00:00,334481.0,RELIANCEAPRJUN20-MNF
,,,,,,,,,,,,2020-06-04T00:00:00,335491.0,RELIANCEMAYJUN20-MCF
,,,,,,,,,,,,2020-06-04T00:00:00,337158.0,RELIANCE04JUN20-MCF
,,2020-05-04T18:10:00.67,4.0,4.0,4.0,2,4.0,,,15300,4.0,2020-06-04T00:00:00,336199.0,RELIANCEMAYJUN20-MNF
,,,,,,,,,,,,2020-06-04T00:00:00,337866.0,RELIANCE04JUN20-MNF
,,,,,,,,,,,,2020-07-02T00:00:00,337867.0,RELIANCEJUNJUL20-MNF
,,2016-11-18T16:10:02.387,5.5,5.5,5.5,4,5.5,,,3400,,2020-07-02T00:00:00,336200.0,RELIANCEMAYJUL20-MNF
,,,,,,,,,,,,2020-07-02T00:00:00,339570.0,RELIANCE02JUL20-MCF
,,,,,,,,,,,,2020-07-02T00:00:00,340275.0,RELIANCE02JUL20-MNF
,,,,,,,,,,,,2020-07-02T00:00:00,337159.0,RELIANCEJUNJUL20-MCF
,,,,,,,,,,,,2020-07-02T00:00:00,335492.0,RELIANCEMAYJUL20-MCF
,,,,,,,,,,,,2020-08-06T00:00:00,337160.0,RELIANCEJUNAUG20-MCF
,,,,,,,,,,,,2020-08-06T00:00:00,337160.0,RELIANCEJUNAUG20-MCF
,,,,,,,,,,,,2020-08-06T00:00:00,340276.0,RELIANCEJULAUG20-MNF
,,,,,,,,,,,,2020-08-06T00:00:00,339571.0,RELIANCEJULAUG20-MCF
,,,,,,,,,,,,2020-08-06T00:00:00,337868.0,RELIANCEJUNAUG20-MNF
,,,,,,,,,,,,2020-08-06T00:00:00,341850.0,RELIANCE06AUG20-MNF
,,,,,,,,,,,,2020-08-06T00:00:00,341247.0,RELIANCE06AUG20-MCF
,,,,,,,,,,,,2020-09-03T00:00:00,341248.0,RELIANCEAUGSEP20-MCF
,,,,,,,,,,,,2020-09-03T00:00:00,341851.0,RELIANCEAUGSEP20-MNF
,,,,,,,,,,,,2020-09-03T00:00:00,339572.0,RELIANCEJULSEP20-MCF
,,,,,,,,,,,,2020-09-03T00:00:00,340277.0,RELIANCEJULSEP20-MNF
,,,,,,,,,,,,2020-09-03T00:00:00,368914.0,RELIANCE03SEP20-MCF
,,,,,,,,,,,,2020-09-03T00:00:00,369095.0,RELIANCE03SEP20-MNF
,,,,,,,,,,,,2020-10-01T00:00:00,369276.0,RELIANCESEPOCT20-MCF
,,,,,,,,,,,,2020-10-01T00:00:00,369457.0,RELIANCESEPOCT20-MNF
,,,,,,,,,,,,2020-10-01T00:00:00,341852.0,RELIANCEAUGOCT20-MNF
,,,,,,,,,,,,2020-10-01T00:00:00,342513.0,RELIANCE01OCT20-MNF
,,,,,,,,,,,,2020-10-01T00:00:00,341249.0,RELIANCEAUGOCT20-MCF
,,,,,,,,,,,,2020-10-01T00:00:00,343314.0,RELIANCE01OCT20-MCF
,,,,,,,,,,,,2020-11-05T00:00:00,343315.0,RELIANCEOCTNOV20-MCF
,,,,,,,,,,,,2020-11-05T00:00:00,342514.0,RELIANCEOCTNOV20-MNF
,,2017-06-27T16:25:01.983,1.5,1.5,1.5,5,1.5,,,12974,,2020-11-05T00:00:00,344001.0,RELIANCE05NOV20-MNF
,,,,,,,,,,,,2020-11-05T00:00:00,344802.0,RELIANCE05NOV20-MCF
,,,,,,,,,,,,2020-11-05T00:00:00,369638.0,RELIANCESEPNOV20-MCF
,,,,,,,,,,,,2020-11-05T00:00:00,369819.0,RELIANCESEPNOV20-MNF
,,,,,,,,,,,,2020-12-03T00:00:00,344803.0,RELIANCENOVDEC20-MCF
,,,,,,,,,,,,2020-12-03T00:00:00,344002.0,RELIANCENOVDEC20-MNF
,,,,,,,,,,,,2020-12-03T00:00:00,345552.0,RELIANCE03DEC20-MNF
,,,,,,,,,,,,2020-12-03T00:00:00,346122.0,RELIANCE03DEC20-MCF
,,,,,,,,,,,,2020-12-03T00:00:00,342515.0,RELIANCEOCTDEC20-MNF
,,,,,,,,,,,,2020-12-03T00:00:00,343316.0,RELIANCEOCTDEC20-MCF
,,,,,,,,,,,,2021-01-07T00:00:00,346123.0,RELIANCEDECJAN21-MCF
,,,,,,,,,,,,2021-01-07T00:00:00,345553.0,RELIANCEDECJAN21-MNF
,,,,,,,,,,,,2021-01-07T00:00:00,344003.0,RELIANCENOVJAN21-MNF
,,,,,,,,,,,,2021-01-07T00:00:00,344804.0,RELIANCENOVJAN21-MCF
,,,,,,,,,,,,2021-01-07T00:00:00,346728.0,RELIANCE07JAN21-MCF
,,,,,,,,,,,,2021-01-07T00:00:00,347214.0,RELIANCE07JAN21-MNF
,,,,,,,,,,,,2021-02-04T00:00:00,347215.0,RELIANCEJANFEB21-MNF
,,,,,,,,,,,,2021-02-04T00:00:00,346729.0,RELIANCEJANFEB21-MCF
,,,,,,,,,,,,2021-02-04T00:00:00,359927.0,RELIANCE04FEB21-MCF
,,,,,,,,,,,,2021-02-04T00:00:00,361085.0,RELIANCE04FEB21-MNF
,,,,,,,,,,,,2021-02-04T00:00:00,345554.0,RELIANCEDECFEB21-MNF
,,,,,,,,,,,,2021-02-04T00:00:00,346124.0,RELIANCEDECFEB21-MCF
,,,,,,,,,,,,2021-03-04T00:00:00,361086.0,RELIANCEFEBMAR21-MNF
,,,,,,,,,,,,2021-03-04T00:00:00,359928.0,RELIANCEFEBMAR21-MCF
,,,,,,,,,,,,2021-03-04T00:00:00,346730.0,RELIANCEJANMAR21-MCF
,,,,,,,,,,,,2021-03-04T00:00:00,347216.0,RELIANCEJANMAR21-MNF
,,,,,,,,,,,,2021-03-04T00:00:00,363425.0,RELIANCE04MAR21-MCF
,,,,,,,,,,,,2021-03-04T00:00:00,363893.0,RELIANCE04MAR21-MNF
,,,,,,,,,,,,2021-04-01T00:00:00,363894.0,RELIANCEMARAPR21-MNF
,,,,,,,,,,,,2021-04-01T00:00:00,363426.0,RELIANCEMARAPR21-MCF
,,,,,,,,,,,,2021-04-01T00:00:00,366260.0,RELIANCE01APR21-MCF
,,,,,,,,,,,,2021-04-01T00:00:00,366761.0,RELIANCE01APR21-MNF
,,,,,,,,,,,,2021-04-01T00:00:00,359929.0,RELIANCEFEBAPR21-MCF
,,,,,,,,,,,,2021-04-01T00:00:00,361087.0,RELIANCEFEBAPR21-MNF
,,,,,,,,,,,,2021-05-06T00:00:00,366762.0,RELIANCEAPRMAY21-MNF
,,,,,,,,,,,,2021-05-06T00:00:00,366261.0,RELIANCEAPRMAY21-MCF
,,,,,,,,,,,,2021-05-06T00:00:00,363427.0,RELIANCEMARMAY21-MCF
,,,,,,,,,,,,2021-05-06T00:00:00,363895.0,RELIANCEMARMAY21-MNF
,,,,,,,,,,,,2021-05-06T00:00:00,370565.0,RELIANCE06MAY21-MNF
,,,,,,,,,,,,2021-06-03T00:00:00,370566.0,RELIANCEMAYJUN21-MNF
,,,,,,,,,,,,2021-06-03T00:00:00,366262.0,RELIANCEAPRJUN21-MCF
,,,,,,,,,,,,2021-06-03T00:00:00,366763.0,RELIANCEAPRJUN21-MNF
,,,,,,,,,,,,2021-07-01T00:00:00,370567.0,RELIANCEMAYJUL21-MNF
